Description,corrected_description
"\n Lares(Spanish pronunciation:[laes],locally[lae]) is a mountaintownandmunicipalityofPuerto Rico\'s central-western area. Lares is located north ofMaricaoandYauco; south ofCamuy, east ofSan SebastinandLas Marias; and west ofHatillo,UtuadoandAdjuntas. Lares is spread over 10 barrios andLares Pueblo(Downtown Lares). It is part of theAguadilla-Isabela-San Sebastin Metropolitan Statistical Area.\n A city adorned withSpanish-era colonial-style churches and small downtown stores, Lares is located on a mountainous, breezy area that is about 1.5 hours from the capitalSan Juanby car.\n","Lares (Spanish pronunciation: [lares], locally [lae]) is a mountaintown and municipality of Puerto Rico's central-western area. Lares is located north of Maricao and Yauco; south of Camuy, east of San Sebastian and Las Marias; and west of Hatillo, Utuado and Adjuntas. Lares is spread over 10 barrios and Lares Pueblo (Downtown Lares). It is part of the Aguadilla-Isabela-San Sebastian Metropolitan Statistical Area. A city adorned with Spanish-era colonial-style churches and small downtown stores, Lares is located in a mountainous, breezy area that is about 1.5 hours from the capital San Juan by car."
"\n Las Maras(Spanish pronunciation:[lasmarias],locally[lamaia]) is atownandmunicipalityofPuerto Ricolocated north ofMaricao; southeast ofAasco; south ofSan Sebastin; east ofMayagez; and west ofLares. Las Maras is spread over 13barriosandLas Maras Pueblo(the downtown area and the administrative center of the city).\n Las Maras was founded on July 1, 1871. Don Benito Recio y Moreno was the acting mayor during the founding of Las Maras.\n","Las Maras (Spanish pronunciation: [las marias], locally [la maia]) is a town and municipality of Puerto Rico located north of Maricao; southeast of Aasco; south of San Sebastián; east of Mayagüez; and west of Lares. Las Maras is spread over 13 barrios and Las Maras Pueblo (the downtown area and the administrative center of the city). Las Maras was founded on July 1, 1871. Don Benito Recio y Moreno was the acting mayor during the founding of Las Maras."
"\n Las Piedras(Spanish pronunciation:[laspjeas]), is atownandmunicipalityin eastPuerto Ricolocated in the central eastern region of the island, north ofYabucoa; south ofCanvanasandRo Grande; east ofJuncosandSan Lorenzo; and west ofNaguaboandHumacao. Las Piedras is spread over 7 barrios andLas Piedras Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n Las Piedras has many natural attractions such asCueva del Indiowhich contains originalTainocaves and paintings that denote some characteristics of the island\'s natives. Las Piedras is located about 45 minutes fromSan Juan, Puerto Rico\'s capital and 5 minutes fromPalmas del Mar,Humacaowhich is one of the biggest resorts in the Caribbean.\n","Las Piedras (Spanish pronunciation: [laspjeas]) is a town and municipality in east Puerto Rico located in the central eastern region of the island, north of Yabucoa; south of Canóvanas and Río Grande; east of Juncos and San Lorenzo; and west of Naguabo and Humacao. Las Piedras is spread over 7 barrios and Las Piedras Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. Las Piedras has many natural attractions such as Cueva del Indio, which contains original Taíno caves and paintings that denote some characteristics of the island's natives. Las Piedras is located about 45 minutes from San Juan, Puerto Rico's capital, and 5 minutes from Palmas del Mar, Humacao, which is one of the biggest resorts in the Caribbean."
"\n Loza(pronounced[loisa]) is atownandmunicipalityon the northeastern coast ofPuerto Rico, north ofCanvanas; east ofCarolina, Puerto Rico; and west ofRo Grande, Puerto Rico. Loza is spread over five barrios andLoza Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area. It is renowned for its richAfro-Puerto Ricanculture and heritage.\n Some say its name comes from a femalecacique, named Loaza or Yuza, who governed the region formerly called Haimanio, on the shores of theRo Grande de Loza. It is said that this cacique might have married amulattoconquistadorcalled Pedro Mejas, but there is no evidence of this.[2]Other sources point to aSpanishlandlord named Iigo Lpez de Cervantes y Loayza, who owned a lot of the territory, and was renowned among governors and colonists of the time.[3]\n","Loza (pronounced [loisa]) is a town and municipality on the northeastern coast of Puerto Rico, north of Canóvanas; east of Carolina, Puerto Rico; and west of Río Grande, Puerto Rico. Loza is spread over five barrios and Loza Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. It is renowned for its rich Afro-Puerto Rican culture and heritage. Some say its name comes from a female cacique, named Loaza or Yuza, who governed the region formerly called Haimanio, on the shores of the Río Grande de Loza. It is said that this cacique might have married a mulatto conquistador called Pedro Mejías, but there is no evidence of this. Other sources point to a Spanish landlord named Iñigo López de Cervantes y Loayza, who owned a lot of the territory and was renowned among governors and colonists of the time."
"\n Luquillo(Spanish pronunciation:[lukio]) is atownandmunicipalityofPuerto Ricolocated in the northeast coast, northwest ofFajardo; and east ofRio Grande. Luquillo is spread over 5 barrios andLuquillo Pueblo(the downtown area and the administrative center of the city). It lends its name to theSierra de Luquillo, whereEl Yunque National Forestis located. It is part of theFajardo Metropolitan Statistical Area.\n The city of Luquillo is 26 square miles and it sits on 12 miles ofAtlanticcoastline. It is nestled between the blue waters of the Atlantic and theEl Yunque National Forest, arainforest, giving it a diverse and unique ecology. Luquillo marks the beginning of theNortheast Ecological CorridorNature Reserve which runs down the coast from downtown Luquillo all the way down to the Seven Seas Beach inFajardo. During certain times of the year, it is not unusual to encounter rare orendangered speciesof fauna (like theleatherback turtle) while visiting in Luquillo.[2]\n","Luquillo (Spanish pronunciation: [lukio]) is a town and municipality of Puerto Rico located on the northeast coast, northwest of Fajardo, and east of Rio Grande. Luquillo is spread over 5 barrios and Luquillo Pueblo (the downtown area and the administrative center of the city). It lends its name to the Sierra de Luquillo, where El Yunque National Forest is located. It is part of the Fajardo Metropolitan Statistical Area. The city of Luquillo is 26 square miles and it sits on 12 miles of Atlantic coastline. It is nestled between the blue waters of the Atlantic and the El Yunque National Forest, a rainforest, giving it a diverse and unique ecology. Luquillo marks the beginning of the Northeast Ecological Corridor Nature Reserve, which runs down the coast from downtown Luquillo all the way down to the Seven Seas Beach in Fajardo. During certain times of the year, it is not unusual to encounter rare or endangered species of fauna (like the leatherback turtle) while visiting in Luquillo."
"\n Manat(Spanish pronunciation:[manati]) is acityandmunicipalityofPuerto Ricoon the northern coast, north ofMorovisandCiales; east ofFloridaandBarceloneta; and west ofVega Baja. Manat is spread over 8 barrios andManat barrio-pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n Manat was founded in 1738 by Don Pedro Menendez Valdes. The Iglesia Nuestra Seora de la Candelaria church was built in the seventeenth century and is still standing in its original spot.[2]Manati is known asLa Ciudad Metropolitana(The Metropolitan City), and also asLas Atenas de Puerto Rico,(The Athens of Puerto Rico).[3]It is named after a sea mammal, themanatee(the sea cow).\n","Manat (Spanish pronunciation: [manati]) is a city and municipality of Puerto Rico on the northern coast, north of Morovis and Ciales; east of Florida and Barceloneta; and west of Vega Baja. Manat is spread over 8 barrios and Manat barrio-pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. Manat was founded in 1738 by Don Pedro Menendez Valdes. The Iglesia Nuestra Señora de la Candelaria church was built in the seventeenth century and is still standing in its original spot. Manat is known as La Ciudad Metropolitana (The Metropolitan City), and also as Las Atenas de Puerto Rico (The Athens of Puerto Rico). It is named after a sea mammal, the manatee (the sea cow)."
"\n Maricao(Spanish pronunciation:[maikao]) is atownand the second-least populousmunicipalityofPuerto Rico; it is located at the western edge of theCordillera Central. It is a small town set around a small square in hilly terrain, north ofSan Germn,Sabana GrandeandYauco; south ofLas MarasandLares, southeast ofMayagez, and west ofAdjuntas. Maricao is spread over 6 barrios andMaricao Pueblo(the downtown area and the administrative center of the city).\n The town borders theMaricao Fish Hatchery, afish hatcherymade up of tanks and pools in a garden setting, where some 25,000 fish are raised yearly to stock farm fishponds and island lakes.[2]The hatchery is part of theMaricao State Forest, also known asMonte del Estado. Though of dryer vegetation than the other mountain forest, Maricao is home to large number ofbird species. Its stone observation tower provides far-flung views to the coast and theMona Passage.\n","Maricao (Spanish pronunciation: [maikao]) is a town and the second-least populous municipality of Puerto Rico; it is located at the western edge of the Cordillera Central. It is a small town set around a small square in hilly terrain, north of San Germán, Sabana Grande and Yauco; south of Las Marías and Lares, southeast of Mayagüez, and west of Adjuntas. Maricao is spread over 6 barrios and Maricao Pueblo (the downtown area and the administrative center of the city). The town borders the Maricao Fish Hatchery, a fish hatchery made up of tanks and pools in a garden setting, where some 25,000 fish are raised yearly to stock farm fishponds and island lakes. The hatchery is part of the Maricao State Forest, also known as Monte del Estado. Though of drier vegetation than the other mountain forests, Maricao is home to a large number of bird species. Its stone observation tower provides far-flung views to the coast and the Mona Passage."
"\n Maunabo(Spanish pronunciation:[mawnao]) is atownandmunicipalityofPuerto Ricolocated in the Maunabo Valley on the southeastern coast, northeast ofPatillasand south ofYabucoa. Maunabo is spread over eight barrios andMaunabo Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area. The current mayor of the town isJorge L. Mrquez Prezand the population in 2020 was 10,589.\n Maunabo was founded in 1799. Maunabo derives its name from aTainonameManatuabnfor theMaunabo River.[2]\n","Maunabo (Spanish pronunciation: [mawnao]) is a town and municipality of Puerto Rico located in the Maunabo Valley on the southeastern coast, northeast of Patillas and south of Yabucoa. Maunabo is spread over eight barrios and Maunabo Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. The current mayor of the town is Jorge L. Márquez Pérez and the population in 2020 was 10,589. Maunabo was founded in 1799. Maunabo derives its name from a Taino name Manatubn for the Maunabo River."
"\n\n Mayagez(Spanish pronunciation:[maawes],locally[maawe]) is the ninth-largest[4]municipalityinPuerto Rico. It was founded asPueblo de Nuestra Seora de la Candelaria de Mayagez(Township ofOur Lady of Candelaria), and is also known asLa Sultana del Oeste(The Sultaness of the West),Ciudad de las Aguas Puras(City of Pure Waters), orCiudad del Mang(Mango City). On April 6, 1894, theSpanish Crowngranted it the formal title ofExcelente Ciudad de Mayagez(Excellent City of Mayagez).[5][6]Mayagez is located in the center of the western coast on the island of Puerto Rico. It has a population of 73,077, and it is the principal city of theMayagez Metropolitan Statistical Area(pop. 213,831) and theMayagezAguadilla, PR Combined Statistical Area(pop. 467,599).[4]\n TheMayagez Metro Area(and part ofAasco) lies today on two formerTanoCacicazgos (chiefdoms): Yaguex and Yageca, a region noted for its record of colonial resistance (i.e.,UrayonandLegend of Diego Salcedo). The Tainos constituted the majority of the island\'s inhabitants at the time of contact with Europeans in 1493 and called itBorikn or Borinquen. Today, this appellation and its variations continue to designate the Island of Puerto Rico and its people. The Tanos came from South American branches ofArawakan speakers, more specifically from modern-dayVenezuela, and lived in small villages, organized their society in clans and named their chiefsCacique. They were farmers who domesticated crops aspineapples,cassava, andsweet potatoessupplemented byfishand seafood.[citation needed]\n","Mayagüez (Spanish pronunciation: [maawes], locally [maawe]) is the ninth-largest municipality in Puerto Rico. It was founded as Pueblo de Nuestra Señora de la Candelaria de Mayagüez (Township of Our Lady of Candelaria) and is also known as La Sultana del Oeste (The Sultaness of the West), Ciudad de las Aguas Puras (City of Pure Waters), or Ciudad del Mango (Mango City). On April 6, 1894, the Spanish Crown granted it the formal title of Excelente Ciudad de Mayagüez (Excellent City of Mayagüez). Mayagüez is located in the center of the western coast on the island of Puerto Rico. It has a population of 73,077, and it is the principal city of the Mayagüez Metropolitan Statistical Area (pop. 213,831) and the Mayagüez-Aguadilla, PR Combined Statistical Area (pop. 467,599). The Mayagüez Metro Area (and part of Añasco) lies today on two former Taíno Cacicazgos (chiefdoms): Yaguex and Yageca, a region noted for its record of colonial resistance (i.e., Urayoán and Legend of Diego Salcedo). The Taínos constituted the majority of the island's inhabitants at the time of contact with Europeans in 1493 and called it Borikén or Borinquen. Today, this appellation and its variations continue to designate the Island of Puerto Rico and its people. The Taínos came from South American branches of Arawakan speakers, more specifically from modern-day Venezuela, and lived in small villages, organized their society in clans, and named their chiefs Caciques. They were farmers who domesticated crops such as pineapples, cassava, and sweet potatoes supplemented by fish and seafood."
"\n Moca(Spanish pronunciation:[moka]) is atownandmunicipalityofPuerto Rico, located in the north-western region of the island, north ofAasco; southeast ofAguadilla; east ofAguada; and west ofIsabelaandSan Sebastin. Moca is spread over 12 barrios andMoca Pueblo(the downtown area and the administrative center). It is part of theAguadilla-Isabela-San Sebastin Metropolitan Statistical Area.\n The name comes from the Moca tree (Andira inermis)which are very common in this region.\n","Moca (Spanish pronunciation: [moka]) is a town and municipality of Puerto Rico, located in the northwestern region of the island, north of Añasco; southeast of Aguadilla; east of Aguada; and west of Isabela and San Sebastián. Moca is spread over 12 barrios and Moca Pueblo (the downtown area and the administrative center). It is part of the Aguadilla-Isabela-San Sebastián Metropolitan Statistical Area. The name comes from the Moca tree (Andira inermis), which is very common in this region."
"\n Morovis(Spanish pronunciation:[moois],locally[mooi]) is atownandmunicipalityofPuerto Ricolocated in the central region of the island, north ofOrocovis, south ofManat,Vega BajaandVega Alta; east ofCiales, and west ofCorozal. Morovis is spread over 13 barrios andMorovis Pueblo(the downtown area and the administrative center of the city).[3]It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n In 1815, a group of residents, under the leadership of Don Juan Jos de la Torre, began the process to separate Morovis fromManat. In 1817, thegovernment of Puerto Ricoapproved the separation, but it was not until 1818 that the requirements of a population of one thousand residents and the construction of a church and several other public buildings was fulfilled, that the municipality of Morovis was officially founded. In 1822, the mayorship was constructed and in 1823, the new church was built, dedicated toNuestra Seora del Carmenon lands donated by Don Juan Evangelista Rivera. Its first mayor was Don Juan Jos de la Torre, with its second mayor being Don Juan Evangelista Rivera.[4]\nMorovis has a particular nickname. It was the only municipality in Puerto Rico that did not suffer from acholeraepidemic in 1853; as a result, a common phrase,""la isla menos Morovis""(""(all of) the island but Morovis"") was coined. The phrase is believed by Puerto Ricans from outside of the town to have a negative connotation againstmoroveos, while, in reality, it is considered a positive motto.\n","Morovis (Spanish pronunciation: [moois], locally [mooi]) is a town and municipality of Puerto Rico located in the central region of the island, north of Orocovis, south of Manat, Vega Baja and Vega Alta; east of Ciales, and west of Corozal. Morovis is spread over 13 barrios and Morovis Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. 

In 1815, a group of residents, under the leadership of Don Juan José de la Torre, began the process to separate Morovis from Manat. In 1817, the government of Puerto Rico approved the separation, but it was not until 1818 that the requirements of a population of one thousand residents and the construction of a church and several other public buildings were fulfilled, that the municipality of Morovis was officially founded. In 1822, the mayorship was established and in 1823, the new church was built, dedicated to Nuestra Señora del Carmen on lands donated by Don Juan Evangelista Rivera. Its first mayor was Don Juan José de la Torre, with its second mayor being Don Juan Evangelista Rivera.

Morovis has a particular nickname. It was the only municipality in Puerto Rico that did not suffer from a cholera epidemic in 1853; as a result, a common phrase, ""la isla menos Morovis"" (""(all of) the island but Morovis"") was coined. The phrase is believed by Puerto Ricans from outside of the town to have a negative connotation against moroveos, while, in reality, it is considered a positive motto."
"\n Naguabo(Spanish pronunciation:[nawao],locally[nawao]) is atownandmunicipalityinPuerto Ricolocated in the east coast of the island bordered by theVieques Passage, north ofHumacao; south ofRo GrandeandCeiba; and east ofLas Piedras. Naguabo is spread over 8 barrios andNaguabo Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n Naguabo is renowned for and is said to be the birthplace of thepastelillodechapn,which is a popular food in Puerto Rico. It istrunkfishwrapped inside deep-fried flour dough.Pastelillos de chapncan be found in almost any seaside establishment on the island.\n","Naguabo (Spanish pronunciation: [nawao], locally [nawao]) is a town and municipality in Puerto Rico located on the east coast of the island, bordered by the Vieques Passage, north of Humacao; south of Ro Grande and Ceiba; and east of Las Piedras. Naguabo is spread over 8 barrios and Naguabo Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. Naguabo is renowned for and is said to be the birthplace of the pastelillo de chapín, which is a popular food in Puerto Rico. It is trinket fish wrapped inside deep-fried flour dough. Pastelillos de chapín can be found in almost any seaside establishment on the island."
"\n Naranjito(Spanish pronunciation:[naaxito]) is atownandmunicipalityofPuerto Ricolocated in the central region of the island, south ofToa Alta; north ofBarranquitasandComero; east ofCorozal; and west ofBayamn. Naranjito is spread over 7 barrios andNaranjito Pueblo(the downtown area and the administrative center). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n The intention to form the municipality of Naranjito began in 1810. After a series of major incidents with powerful political interests of the time, on December 3, 1824, Don Braulio Morales successfully founded the town of Naranjito. The town was founded in the neighborhood of the same name, on a land donated by Doa Manuela Rivera and Don Braulio Morales. Morales was named ""Captain Settler"" and at the same time was appointed mayor of the town in development. The name ""Naranjito"" is derived from a small sour orange tree that served as a reference point for travelers looking for in the shortest way to the town ofToa Alta. At the time of its foundation, Naranjito consisted of five barrios/districts:Lomas,Guadiana,Achiote,NuevoandCedro. Cedro was divided in 1853 inCedro ArribaandCedro Abajo. The municipality\'s main urban zone is composed by the San Miguel, San Antonio and San Cristobal districts.\n","Naranjito (Spanish pronunciation: [naaxito]) is a town and municipality of Puerto Rico located in the central region of the island, south of Toa Alta; north of Barranquitas and Comerío; east of Corozal; and west of Bayamón. Naranjito is spread over 7 barrios and Naranjito Pueblo (the downtown area and the administrative center). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. The intention to form the municipality of Naranjito began in 1810. After a series of major incidents with powerful political interests of the time, on December 3, 1824, Don Braulio Morales successfully founded the town of Naranjito. The town was founded in the neighborhood of the same name, on land donated by Doña Manuela Rivera and Don Braulio Morales. Morales was named ""Captain Settler"" and at the same time was appointed mayor of the town in development. The name ""Naranjito"" is derived from a small sour orange tree that served as a reference point for travelers looking for the shortest way to the town of Toa Alta. At the time of its foundation, Naranjito consisted of five barrios/districts: Lomas, Guadiana, Achiote, Nuevo and Cedro. Cedro was divided in 1853 into Cedro Arriba and Cedro Abajo. The municipality's main urban zone is composed of the San Miguel, San Antonio, and San Cristóbal districts."
"\n Orocovis(from theTainochiefOrocobix) is a town andmunicipalityofPuerto Ricolocated in the center of the island. Founded by Juan Rivera de Santiago in 1825. Orocovis is spread over 17 barrios. It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area. It\'s located north ofVillalbaandCoamo; south ofMorovisandCorozal; southeast ofCiales; east ofJayuya; and west ofBarranquitas\n Since before theSpanish colonizationin the16th century, theTanowere already established in the region. They were led by thecaciqueOrocobixand his tribe known as theJatibonicu. AfterSpaniardssettled in the island, the region was part of the south of Manat and the north region of Coamo. By 1823Orocoviswas abarrioofBarranquitaswhile Morovis (previously part of Manat) had a barrio calledBarros. Both Orocovis and Barros were eventually united to establish a new town.\n","Orocovis (from the Taino chief Orocobix) is a town and municipality of Puerto Rico located in the center of the island. Founded by Juan Rivera de Santiago in 1825, Orocovis is spread over 17 barrios. It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. It's located north of Villalba and Coamo; south of Morovis and Corozal; southeast of Ciales; east of Jayuya; and west of Barranquitas. Since before the Spanish colonization in the 16th century, the Tano were already established in the region. They were led by the cacique Orocobix and his tribe known as the Jatibonicu. After Spaniards settled on the island, the region was part of the south of Manat and the north region of Coamo. By 1823, Orocovis was a barrio of Barranquitas while Morovis (previously part of Manat) had a barrio called Barros. Both Orocovis and Barros were eventually united to establish a new town."
"\n Patillas(Spanish pronunciation:[patias],locally[patia]) is a beachtownandmunicipalityofPuerto Ricolocated in the southeastern coast, south ofSan Lorenzo; west ofYabucoaandMaunabo; and east ofGuayamaandArroyo. It is spread over 15 barrios andPatillas Pueblo(thedowntownarea and theadministrativecenter of the city). It is part of theGuayama Metropolitan Statistical Area.\n Europeans had settled the area as early as 1760. There was, however, no permanent settlement until the town was officially founded in 1811. In 1841 afire in Patillaskilled a great many people.[2]\n","Patillas (Spanish pronunciation: [patias], locally [patia]) is a beach town and municipality of Puerto Rico located on the southeastern coast, south of San Lorenzo; west of Yabucoa and Maunabo; and east of Guayama and Arroyo. It is spread over 15 barrios and Patillas Pueblo (the downtown area and the administrative center of the city). It is part of the Guayama Metropolitan Statistical Area. Europeans had settled the area as early as 1760. There was, however, no permanent settlement until the town was officially founded in 1811. In 1841 a fire in Patillas killed a great many people."
"\n Peñuelas(Spanish pronunciation:[pewelas],locally[pewela]) is atownandmunicipalityinPuerto Ricolocated in the Peñuelas Valley on the southern coast of the island, south ofAdjuntas, east ofGuayanilla, west ofPonceand north of theCaribbean Sea. Peñuelas is spread over 12 barrios andPeuelas Pueblo(the downtown area and the administrative center of the city). It is part of theYauco Metropolitan Statistical Area. Peñuelas is known as ""La Capital del Giro"" (TheGiroCapital) and ""El Valle de los Flamboyanes"" (The Valley of theRoyal Poinciana trees). In 2020, Peñuelas had a population of 20,399.\n In 1754, a group of workers had settled over theBay of Tallaboa. Later gradually retreated deeper into the valley, heading tobarrios the most fertile land which would then be part of the town of Peñuelas. For the year 1788, approximately 80 families inhabiting the valley, which focused mainly on agriculture and livestock.\nPeuelas Township was founded August 25, 1793 by Diego de Alvarado.[3]\n","Peñuelas (Spanish pronunciation: [pewelas], locally [pewela]) is a town and municipality in Puerto Rico located in the Peñuelas Valley on the southern coast of the island, south of Adjuntas, east of Guayanilla, west of Ponce, and north of the Caribbean Sea. Peñuelas is spread over 12 barrios and Peñuelas Pueblo (the downtown area and the administrative center of the city). It is part of the Yauco Metropolitan Statistical Area. Peñuelas is known as ""La Capital del Giro"" (The Giro Capital) and ""El Valle de los Flamboyanes"" (The Valley of the Royal Poinciana trees). In 2020, Peñuelas had a population of 20,399. In 1754, a group of workers had settled over the Bay of Tallaboa. They later gradually retreated deeper into the valley, heading to barrios with the most fertile land, which would then be part of the town of Peñuelas. By the year 1788, approximately 80 families were inhabiting the valley, which focused mainly on agriculture and livestock. Peñuelas Township was founded on August 25, 1793, by Diego de Alvarado."
"\n Ponce(US:/pnse,pon-/PAWN-say,POHN-,UK:/pn-/PON-,Spanish:[ponse]) is acityand amunicipalityon the southern coast ofPuerto Rico.[25]The most populated city outside theSan Juanmetropolitan area, was founded on August 12, 1692[note 1][26][20][27][17]and is named afterJuan Ponce de Len y Loayza,[28]the great-grandson of Spanish conquistadorJuan Ponce de Len.[note 2]Ponce is often referred to asLa Perla del Sur(The Pearl of the South),La Ciudad Seorial[b](The Manorial City[c]), andLa Ciudad de las Quenepas(GenipCity). \n The city serves as the governmental seat of the autonomous municipality as well as the regional hub for variousGovernment of Puerto Ricoentities, such as theJudiciary of Puerto Rico. It is also the regional center for variousU.S. Federal Governmentagencies. Ponce is a principal city of both thePonce Metropolitan Statistical Areaand thePonce-Yauco-Coamo Combined Statistical Area.\n","Ponce (US: /ˈpɒnse, pɒn-/ PAWN-say, POHN-, UK: /pɒn-/ PON-, Spanish: [ponse]) is a city and a municipality on the southern coast of Puerto Rico. The most populated city outside the San Juan metropolitan area, it was founded on August 12, 1692 and is named after Juan Ponce de León y Loayza, the great-grandson of Spanish conquistador Juan Ponce de León. Ponce is often referred to as La Perla del Sur (The Pearl of the South), La Ciudad Señorial (The Manorial City), and La Ciudad de las Quenepas (Genip City). The city serves as the governmental seat of the autonomous municipality as well as the regional hub for various Government of Puerto Rico entities, such as the Judiciary of Puerto Rico. It is also the regional center for various U.S. Federal Government agencies. Ponce is a principal city of both the Ponce Metropolitan Statistical Area and the Ponce-Yauco-Coamo Combined Statistical Area."
"\n Quebradillas(Spanish pronunciation:[keaias],locally[keaia]) is atownandmunicipalityof the island ofPuerto Ricolocated in the northern shore bordering the Atlantic Ocean, north ofSan Sebastin; east ofIsabela; and west ofCamuy. Quebradillas is spread over seven barrios andQuebradillas Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n Quebradillas is called ""La Guarida del Pirata"" (The Pirate\'s Hideout). A well-known beach in the area,Puerto Hermina, is home to an old structure known to have been a hiding place for pirates and their contraband.\n","Quebradillas (Spanish pronunciation: [keˈβɾaðijas], locally [keˈβɾaɪa]) is a town and municipality of the island of Puerto Rico located on the northern shore bordering the Atlantic Ocean, north of San Sebastián; east of Isabela; and west of Camuy. Quebradillas is spread over seven barrios and Quebradillas Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. Quebradillas is called ""La Guarida del Pirata"" (The Pirate's Hideout). A well-known beach in the area, Puerto Hermina, is home to an old structure known to have been a hiding place for pirates and their contraband."
"\n Rincn(Spanish pronunciation:[rikon]) is a popular beachtownandmunicipalityofPuerto Ricofounded in 1771 by Don Luis de Añasco, who previously foundedAascoin 1733. It is located in the Western Coastal Valley, west ofAascoandAguada. Rincn is spread over 9 barrios andRincn Pueblo(the downtown area and the administrative center of the city). It is part of theAguadilla-Isabela-San Sebastin Metropolitan Statistical Area.\n The municipality is home to many of thesurfingbeaches in Puerto Rico, includingDomes, Marias,[2]Tres Palmas, Sandy Beach, Pools Beach, Crcega Beach and Rincn Town Beach. The word ""Rincn"" means ""nook"" inCastilian Spanish. Rincn is in the north, on the westernmost tip of Puerto Rico.\n","Rincón (Spanish pronunciation: [rikon]) is a popular beach town and municipality of Puerto Rico founded in 1771 by Don Luis de Añasco, who previously founded Añasco in 1733. It is located in the Western Coastal Valley, west of Añasco and Aguada. Rincón is spread over 9 barrios and Rincón Pueblo (the downtown area and the administrative center of the city). It is part of the Aguadilla-Isabela-San Sebastián Metropolitan Statistical Area. The municipality is home to many of the surfing beaches in Puerto Rico, including Domes, Marías, Tres Palmas, Sandy Beach, Pools Beach, Crash Boat Beach, and Rincón Town Beach. The word ""Rincón"" means ""nook"" in Castilian Spanish. Rincón is in the north, on the westernmost tip of Puerto Rico."
"\n Ro Grande(Spanish pronunciation:[ri.oande]) is atownandmunicipalityofPuerto Ricolocated on the eastern edge of the Northern Coastal Valley, north ofLas Piedras,NaguaboandCeiba; east ofLozaandCanvanasand west ofLuquillo. Ro Grande is spread over eight barrios andRo Grande Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area. A big portion ofEl Yunque National Forest, includingEl Yunque\'s peak, is located within the municipality.\n Ro Grande was founded on July 16, 1840, by Desiderio and Quilimaco Escobar, with the approval of Governor Miguel Lpez. It was named after theRo Grandeand is located where the Ro Grande and theRo Espritu Santojoin.\n","Río Grande (Spanish pronunciation: [ri.o ˈɡrande]) is a town and municipality of Puerto Rico located on the eastern edge of the Northern Coastal Valley, north of Las Piedras, Naguabo and Ceiba; east of Loíza and Canóvanas and west of Luquillo. Río Grande is spread over eight barrios and Río Grande Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. A big portion of El Yunque National Forest, including El Yunque's peak, is located within the municipality. 

Río Grande was founded on July 16, 1840, by Desiderio and Quilimaco Escobar, with the approval of Governor Miguel López. It was named after the Río Grande and is located where the Río Grande and the Río Espíritu Santo join."
